datum,zaehlstelle,richtung_1,richtung_2,gesamt,min.temp,max.temp,niederschlag,bewoelkung,sonnenstunden,kommentar,min-temp,max-temp
2016-01-01,Arnulf,118.0,9.0,127.0,1.1,5.2,0.0,93,0.0,,,
2016-01-02,Arnulf,244.0,16.0,260.0,0.3,1.3,8.0,99,0.0,,,
2016-01-03,Arnulf,130.0,17.0,147.0,-2.0,1.5,2.8,98,0.0,,,
2016-01-04,Arnulf,427.0,34.0,461.0,-3.2,6.4,1.3,89,1.9,,,
2016-01-05,Arnulf,521.0,39.0,560.0,1.5,6.5,0.5,83,1.4,,,
2016-01-06,Arnulf,251.0,17.0,268.0,1.8,6.6,2.6,95,0.6,,,
2016-01-07,Arnulf,686.0,49.0,735.0,2.0,6.6,2.7,79,3.1,,,
2016-01-08,Arnulf,730.0,52.0,782.0,3.6,7.4,8.8,63,3.5,,,
2016-01-09,Arnulf,253.0,10.0,263.0,4.5,7.7,2.3,99,0.0,,,
2016-01-10,Arnulf,235.0,19.0,254.0,3.3,7.3,8.4,90,0.3,,,
2016-01-11,Arnulf,627.0,38.0,665.0,4.5,7.4,0.9,91,0.0,,,
2016-01-12,Arnulf,629.0,49.0,678.0,1.7,6.1,3.7,75,0.8,,,
2016-01-13,Arnulf,588.0,40.0,628.0,1.4,3.9,0.2,90,0.0,,,
2016-01-14,Arnulf,819.0,55.0,874.0,-0.5,4.4,0.3,56,6.2,,,
2016-01-15,Arnulf,466.0,35.0,501.0,-1.2,2.2,4.3,91,0.4,,,
2016-01-16,Arnulf,163.0,11.0,174.0,-1.8,0.2,2.0,98,0.2,,,
2016-01-17,Arnulf,56.0,13.0,69.0,-4.3,-0.8,2.4,96,1.5,,,
2016-01-18,Arnulf,269.0,30.0,299.0,-7.0,-2.7,0.0,69,7.0,,,
2016-01-19,Arnulf,305.0,34.0,339.0,-7.8,-1.5,0.0,98,0.0,,,
2016-01-20,Arnulf,318.0,49.0,367.0,-4.5,1.1,0.1,75,8.5,,,
2016-01-21,Arnulf,397.0,39.0,436.0,-6.3,0.7,0.0,68,0.7,,,
2016-01-22,Arnulf,378.0,40.0,418.0,-8.1,-4.0,1.5,48,5.2,,,
2016-01-23,Arnulf,154.0,10.0,164.0,-7.9,4.6,1.3,85,0.0,,,
2016-01-24,Arnulf,166.0,9.0,175.0,-1.9,6.3,0.5,74,0.3,,,
2016-01-25,Arnulf,711.0,44.0,755.0,2.9,12.7,0.0,54,4.6,,,
2016-01-26,Arnulf,874.0,55.0,929.0,1.3,15.4,0.0,25,5.9,,,
2016-01-27,Arnulf,941.0,65.0,1006.0,3.4,14.9,0.0,75,2.6,,,
2016-01-28,Arnulf,821.0,51.0,872.0,6.4,13.0,4.1,95,0.0,,,
2016-01-29,Arnulf,761.0,56.0,817.0,5.2,11.1,0.0,59,3.6,,,
2016-01-30,Arnulf,499.0,21.0,520.0,1.4,12.4,13.1,40,6.7,,,
2016-01-31,Arnulf,132.0,8.0,140.0,0.6,9.9,20.7,98,0.0,,,
2016-02-01,Arnulf,743.0,55.0,798.0,8.0,14.2,0.0,91,0.9,,,
2016-02-02,Arnulf,979.0,61.0,1040.0,7.7,12.5,0.3,74,5.0,,,
2016-02-03,Arnulf,455.0,42.0,497.0,0.7,9.9,9.3,93,0.0,,,
2016-02-04,Arnulf,565.0,51.0,616.0,0.9,3.8,6.9,96,0.3,,,
2016-02-05,Arnulf,570.0,46.0,616.0,2.1,7.6,0.3,81,0.8,,,
2016-02-06,Arnulf,490.0,21.0,511.0,0.1,15.4,0.0,18,8.5,,,
2016-02-07,Arnulf,307.0,22.0,329.0,3.3,14.9,0.2,66,1.0,,,
2016-02-08,Arnulf,770.0,54.0,824.0,3.3,13.7,2.5,74,3.3,,,
2016-02-09,Arnulf,662.0,53.0,715.0,5.5,11.9,0.3,91,0.6,,,
2016-02-10,Arnulf,587.0,50.0,637.0,1.2,5.5,0.6,96,0.4,,,
2016-02-11,Arnulf,662.0,59.0,721.0,-0.8,6.9,0.0,70,2.9,,,
2016-02-12,Arnulf,673.0,48.0,721.0,-1.4,7.1,0.9,80,6.2,,,
2016-02-13,Arnulf,349.0,19.0,368.0,2.2,8.0,1.9,94,0.4,,,
2016-02-14,Arnulf,291.0,15.0,306.0,2.1,10.0,3.3,79,1.0,,,
2016-02-15,Arnulf,851.0,62.0,913.0,2.1,7.0,0.0,93,1.7,,,
2016-02-16,Arnulf,769.0,64.0,833.0,1.2,3.2,0.0,100,0.1,,,
2016-02-17,Arnulf,679.0,55.0,734.0,0.6,3.0,0.4,99,0.0,,,
2016-02-18,Arnulf,786.0,66.0,852.0,-0.4,5.0,0.0,89,0.0,,,
2016-02-19,Arnulf,702.0,43.0,745.0,1.0,4.4,0.0,100,0.0,,,
2016-02-20,Arnulf,216.0,16.0,232.0,0.4,8.9,9.6,80,0.8,,,
2016-02-21,Arnulf,267.0,24.0,291.0,6.4,14.6,0.0,75,0.9,,,
2016-02-22,Arnulf,1099.0,83.0,1182.0,9.0,18.1,0.0,40,7.0,,,
2016-02-23,Arnulf,675.0,47.0,722.0,0.7,11.3,4.3,94,0.1,,,
2016-02-24,Arnulf,762.0,65.0,827.0,0.8,5.7,5.9,81,2.6,,,
2016-02-25,Arnulf,428.0,33.0,461.0,-0.3,1.7,4.4,96,0.0,,,
