Time,Dieselbrücke,Friedberger Straße östlich Afrabrücke,Friedrich-Ebert-Straße östlich Haltestelle Messe,Färberstraße/Gollwitzerstr.,Gögginger Straße südlich Rosenaustraße,Haunstetter Straße Höhe protestantischer Friedhof,Konrad Adenauer Allee Fahrradstraße,Postillionstraße südl. Roggenstraße,Rosenaustraße westlich Gögginger Straße,"Südlich A8-Unterführung, Ostseite",Ulrichsbrücke,Wagenhalsstraße,
2016-09-16 00:00:00,,,,,,,1423,,,,,,
2016-09-17 00:00:00,,,,,,,1088,,,,,,
2016-09-18 00:00:00,,,,,,,358,,,,,,
2016-09-19 00:00:00,,,,,,,1115,,,,,,
2016-09-20 00:00:00,,,,,,,2708,,,,,,
2016-09-21 00:00:00,,,,,,,3129,,,,,,
2016-09-22 00:00:00,,,,,,,3412,,,,,,
2016-09-23 00:00:00,,,,,,,3230,,,,,,
2016-09-24 00:00:00,,,,,,,2408,,,,,,
2016-09-25 00:00:00,,,,,,,1911,,,,,,
2016-09-26 00:00:00,,,,,,,3420,,,,,,
2016-09-27 00:00:00,,,,,,,3268,,,,,,
2016-09-28 00:00:00,,,,,,,3447,,,,,,
2016-09-29 00:00:00,,,,,,,3635,,,,,,
2016-09-30 00:00:00,,,,,,,3446,,,,,,
2016-10-01 00:00:00,,,,,,,2220,,,,,,
2016-10-02 00:00:00,,,,,,,684,,,,,,
2016-10-03 00:00:00,,,,,,,722,,,,,,
2016-10-04 00:00:00,,,,,,,2492,,,,,,
2016-10-05 00:00:00,,,,,,,2823,,,,,,
2016-10-06 00:00:00,,,,,,,2049,,,,,,
2016-10-07 00:00:00,,,,,,,2041,,,,,,
2016-10-08 00:00:00,,,,,,,1515,,,,,,
2016-10-09 00:00:00,,,,,,,853,,,,,,
2016-10-10 00:00:00,,,,,,,2542,,,,,,
2016-10-11 00:00:00,,,,,,,2464,,,,,,
2016-10-12 00:00:00,,,,,,,2598,,,,,,
2016-10-13 00:00:00,,,,,,,2606,,,,,,
2016-10-14 00:00:00,,,,,,,2549,,,,,,
2016-10-15 00:00:00,,,,,,,1782,,,,,,
2016-10-16 00:00:00,,,,,,,1126,,,,,,
2016-10-17 00:00:00,,,,,,,2793,,,,,,
2016-10-18 00:00:00,,,,,,,1847,,,,,,
2016-10-19 00:00:00,,,,,,,1962,,,,,,
2016-10-20 00:00:00,,,,,,,2486,,,,,,
2016-10-21 00:00:00,,,,,,,2009,,,,,,
2016-10-22 00:00:00,,,,,,,1798,,,,,,
2016-10-23 00:00:00,,,,,,,744,,,,,,
2016-10-24 00:00:00,,,,,,,2679,,,,,,
2016-10-25 00:00:00,,,,,,,1696,,,,,,
2016-10-26 00:00:00,,,,,,,2569,,,,,,
2016-10-27 00:00:00,,,,,,,2736,,,,,,
2016-10-28 00:00:00,,,,,,,2709,,,,,,
2016-10-29 00:00:00,,,,,,,2565,,,,,,
2016-10-30 00:00:00,,,,,,,800,,,,,,
2016-10-31 00:00:00,,,,,,,2233,,,,,,
2016-11-01 00:00:00,,,,,,,718,,,,,,
2016-11-02 00:00:00,,,,,,,1794,,,,,,
2016-11-03 00:00:00,,,,,,,2199,,,,,,
2016-11-04 00:00:00,,,,,,,2133,,,,,,
2016-11-05 00:00:00,,,,,,,1155,,,,,,
2016-11-06 00:00:00,,,,,,,408,,,,,,
2016-11-07 00:00:00,,,,,,,1878,,,,,,
2016-11-08 00:00:00,,,,,,,2167,,,,,,
2016-11-09 00:00:00,,,,,,,2027,,,,,,
2016-11-10 00:00:00,,,,,,,1938,,,,,,
2016-11-11 00:00:00,,,,,,,1436,,,,,,
2016-11-12 00:00:00,,,,,,,1193,,,,,,
2016-11-13 00:00:00,,,,,,,563,,,,,,
2016-11-14 00:00:00,,,,,,,2065,,,,,,
2016-11-15 00:00:00,,,,,,,1939,,,,,,
2016-11-16 00:00:00,,,,,,,1352,,,,,,
2016-11-17 00:00:00,,,,,,,2093,,,,,,
2016-11-18 00:00:00,,,,,,,2064,,,,,,
2016-11-19 00:00:00,,,,,,,626,,,,,,
2016-11-20 00:00:00,,,,,,,660,,,,,,
2016-11-21 00:00:00,,,,,,,2383,,,,,,
2016-11-22 00:00:00,,,,,,,2466,,,,,,
2016-11-23 00:00:00,,,,,,,2483,,,,,,
2016-11-24 00:00:00,,,,,,,2334,,,,,,
2016-11-25 00:00:00,,,,,,,2265,,,,,,
2016-11-26 00:00:00,,,,,,,1255,,,,,,
2016-11-27 00:00:00,,,,,,,680,,,,,,
2016-11-28 00:00:00,,,,,,,2162,,,,,,
2016-11-29 00:00:00,,,,,,,2114,,,,,,
2016-11-30 00:00:00,,,,,,,2041,,,,,,
2016-12-01 00:00:00,,,,,,,2208,,,,,,
2016-12-02 00:00:00,,,,,,,1942,,,,,,
2016-12-03 00:00:00,,,,,,,1309,,,,,,
2016-12-04 00:00:00,,,,,,,546,,,,,,
2016-12-05 00:00:00,,,,,,,1782,,,,,,
2016-12-06 00:00:00,,,,,,,1812,,,,,,
2016-12-07 00:00:00,,,,,,,1579,,,,,,
2016-12-08 00:00:00,,,,,,,1881,,,,,,
2016-12-09 00:00:00,,,,,,,1977,,,,,,
2016-12-10 00:00:00,,,,,,,1357,,,,,,
2016-12-11 00:00:00,,,,,,,506,,,,,,
2016-12-12 00:00:00,,,,,,,1838,,,,,,
2016-12-13 00:00:00,,,,,,,2094,,,,,,
2016-12-14 00:00:00,,,,,,,2144,,,,,,
2016-12-15 00:00:00,,,,,,,2102,,,,,,
2016-12-16 00:00:00,,,,,,,2048,,,,,,
2016-12-17 00:00:00,,,,,,,1247,,,,,,
2016-12-18 00:00:00,,,,,,,574,,,,,,
2016-12-19 00:00:00,,,,,,,1943,,,,,,
2016-12-20 00:00:00,,,,,,,1898,,,,,,
2016-12-21 00:00:00,,,,,,,1905,,,,,,
2016-12-22 00:00:00,,,,,,,1833,,,,,,
2016-12-23 00:00:00,,,,,,,1706,,,,,,
