Month,Deutzer Brücke,Hohenzollernbrücke,Neumarkt,Zülpicher Straße,Bonner Straße,Venloer Straße,Vorgebirgswall,Universitäts-straße,A.-Schütte-Allee,Vorgebirgspark,A.-Silbermann-Weg,Stadtwald,Niederländer Ufer,Rodenkirchener Brücke,Severinsbrücke,Neusser Straße
Januar,62.891,41.003,52.081,67.903,55.270,93.471,52.486,81.065,37.427,14.775,44.908,31.286,38.269,26.019,24.643,
Februar,84.472,48.935,63.627,80.690,59.499,107.032,62.629,90.069,52.798,19.155,55.819,44.267,55.743,39.123,30.208,
März,114.846,65.838,94.799,107.955,84.759,147.321,83.349,118.573,59.586,22.901,79.482,62.052,69.157,48.667,40.351,
April,110.865,63.283,80.753,106.172,70.522,145.596,80.127,110.035,61.099,25.308,75.697,66.053,69.110,50.580,37.515,
Mai,110.115,65.275,85.309,116.561,59.282,158.116,84.925,116.043,68.598,27.540,83.822,75.929,78.083,56.713,40.726,
Juni,142.092,95.949,156.006,157.255,83.278,223.859,119.843,173.846,94.849,38.409,123.054,118.557,113.152,72.083,56.167,
Juli,151.901,79.440,136.126,136.295,76.559,189.880,92.803,142.296,71.487,29.581,92.796,74.701,84.454,54.588,43.656,
August,162.988,82.663,137.990,169.457,80.735,192.806,102.894,148.068,79.721,32.276,93.598,85.170,86.638,61.209,49.111,105.453
September,183.553,98.337,157.548,178.758,94.929,209.465,120.031,169.182,90.977,38.657,105.923,103.577,99.069,71.890,62.298,119.746
Oktober,133.841,74.466,125.951,154.606,81.122,188.754,90.664,147.749,55.194,26.741,80.480,69.643,63.078,45.036,43.168,96.022
November,118.682,65.077,104.745,122.068,74.571,157.641,82.660,137.091,39.864,23.973,67.438,59.683,48.232,32.492,42.099,84.968
Dezember,103.185,48.946,95.351,104.161,67.496,129.771,64.553,105.000,29.506,18.433,52.401,40.985,36.685,23.585,33.683,74.778
