datum,uhrzeit_start,uhrzeit_ende,zaehlstelle,richtung_1,richtung_2,gesamt,min-temp,max-temp,niederschlag,bewoelkung,sonnenstunden
2023.01.01,00:00:00,23.59,Arnulf,358.0,44.0,402.0,6.4,18.5,0.0,73,7.8
2023.01.02,00:00:00,23.59,Arnulf,781.0,64.0,845.0,3.5,14.9,0.4,81,4.2
2023.01.03,00:00:00,23.59,Arnulf,671.0,51.0,722.0,3.7,10.4,0.7,91,0.0
2023.01.04,00:00:00,23.59,Arnulf,744.0,43.0,787.0,2.1,11.2,0.1,75,3.0
2023.01.05,00:00:00,23.59,Arnulf,630.0,45.0,675.0,8.3,11.1,2.3,98,0.0
2023.01.06,00:00:00,23.59,Arnulf,469.0,25.0,494.0,4.6,10.9,0.0,88,5.9
2023.01.07,00:00:00,23.59,Arnulf,634.0,35.0,669.0,1.3,10.7,0.0,55,7.7
2023.01.08,00:00:00,23.59,Arnulf,443.0,38.0,481.0,0.4,8.8,0.1,91,1.3
2023.01.09,00:00:00,23.59,Arnulf,1008.0,76.0,1084.0,3.6,7.5,0.4,96,0.1
2023.01.10,00:00:00,23.59,Arnulf,1028.0,56.0,1084.0,1.0,5.2,0.2,86,1.0
2023.01.11,00:00:00,23.59,Arnulf,998.0,61.0,1059.0,2.0,11.6,4.3,96,1.2
2023.01.12,00:00:00,23.59,Arnulf,1170.0,65.0,1235.0,3.8,9.0,0.0,91,0.7
2023.01.13,00:00:00,23.59,Arnulf,917.0,64.0,981.0,3.3,11.9,0.7,84,1.1
2023.01.14,00:00:00,23.59,Arnulf,649.0,28.0,677.0,3.3,10.0,0.2,85,3.3
2023.01.15,00:00:00,23.59,Arnulf,338.0,45.0,383.0,2.2,13.4,0.9,96,0.0
2023.01.16,00:00:00,23.59,Arnulf,1061.0,56.0,1117.0,0.1,6.0,0.0,73,5.3
2023.01.17,00:00:00,23.59,Arnulf,1162.0,62.0,1224.0,0.3,4.3,0.0,73,4.5
2023.01.18,00:00:00,23.59,Arnulf,1068.0,63.0,1131.0,-1.2,3.1,0.3,94,1.4
2023.01.19,00:00:00,23.59,Arnulf,880.0,42.0,922.0,-2.6,0.6,0.0,99,2.7
2023.01.20,00:00:00,23.59,Arnulf,613.0,48.0,661.0,-2.3,-0.6,2.4,98,0.0
2023.01.21,00:00:00,23.59,Arnulf,118.0,8.0,126.0,-3.6,-1.7,4.5,95,0.0
2023.01.22,00:00:00,23.59,Arnulf,100.0,15.0,115.0,-4.2,-1.3,0.1,96,0.0
2023.01.23,00:00:00,23.59,Arnulf,469.0,41.0,510.0,-4.6,0.4,0.2,95,0.0
2023.01.24,00:00:00,23.59,Arnulf,698.0,56.0,754.0,0.1,1.6,0.0,98,0.0
2023.01.25,00:00:00,23.59,Arnulf,839.0,80.0,919.0,-1.2,0.6,0.0,100,0.0
2023.01.26,00:00:00,23.59,Arnulf,850.0,82.0,932.0,-1.8,-1.0,0.1,99,0.0
2023.01.27,00:00:00,23.59,Arnulf,480.0,38.0,518.0,-2.1,-0.5,0.3,98,0.0
2023.01.28,00:00:00,23.59,Arnulf,322.0,21.0,343.0,-2.0,0.3,0.1,99,0.0
2023.01.29,00:00:00,23.59,Arnulf,245.0,22.0,267.0,-3.1,0.2,0.0,88,0.0
2023.01.30,00:00:00,23.59,Arnulf,806.0,49.0,855.0,-3.8,3.6,0.0,74,2.1
2023.01.31,00:00:00,23.59,Arnulf,956.0,68.0,1024.0,1.1,3.9,0.0,94,2.8
2023.01.01,00:00:00,23.59,Kreuther,100.0,93.0,193.0,6.4,18.5,0.0,73,7.8
2023.01.02,00:00:00,23.59,Kreuther,226.0,182.0,408.0,3.5,14.9,0.4,81,4.2
2023.01.03,00:00:00,23.59,Kreuther,173.0,152.0,325.0,3.7,10.4,0.7,91,0.0
2023.01.04,00:00:00,23.59,Kreuther,218.0,175.0,393.0,2.1,11.2,0.1,75,3.0
2023.01.05,00:00:00,23.59,Kreuther,160.0,135.0,295.0,8.3,11.1,2.3,98,0.0
2023.01.06,00:00:00,23.59,Kreuther,141.0,122.0,263.0,4.6,10.9,0.0,88,5.9
2023.01.07,00:00:00,23.59,Kreuther,164.0,153.0,317.0,1.3,10.7,0.0,55,7.7
2023.01.08,00:00:00,23.59,Kreuther,110.0,82.0,192.0,0.4,8.8,0.1,91,1.3
2023.01.09,00:00:00,23.59,Kreuther,322.0,242.0,564.0,3.6,7.5,0.4,96,0.1
2023.01.10,00:00:00,23.59,Kreuther,302.0,232.0,534.0,1.0,5.2,0.2,86,1.0
2023.01.11,00:00:00,23.59,Kreuther,311.0,216.0,527.0,2.0,11.6,4.3,96,1.2
2023.01.12,00:00:00,23.59,Kreuther,334.0,247.0,581.0,3.8,9.0,0.0,91,0.7
2023.01.13,00:00:00,23.59,Kreuther,264.0,191.0,455.0,3.3,11.9,0.7,84,1.1
2023.01.14,00:00:00,23.59,Kreuther,166.0,133.0,299.0,3.3,10.0,0.2,85,3.3
2023.01.15,00:00:00,23.59,Kreuther,59.0,50.0,109.0,2.2,13.4,0.9,96,0.0
2023.01.16,00:00:00,23.59,Kreuther,355.0,225.0,580.0,0.1,6.0,0.0,73,5.3
2023.01.17,00:00:00,23.59,Kreuther,368.0,265.0,633.0,0.3,4.3,0.0,73,4.5
2023.01.18,00:00:00,23.59,Kreuther,332.0,264.0,596.0,-1.2,3.1,0.3,94,1.4
2023.01.19,00:00:00,23.59,Kreuther,238.0,187.0,425.0,-2.6,0.6,0.0,99,2.7
2023.01.20,00:00:00,23.59,Kreuther,195.0,156.0,351.0,-2.3,-0.6,2.4,98,0.0
2023.01.21,00:00:00,23.59,Kreuther,41.0,40.0,81.0,-3.6,-1.7,4.5,95,0.0
2023.01.22,00:00:00,23.59,Kreuther,34.0,33.0,67.0,-4.2,-1.3,0.1,96,0.0
2023.01.23,00:00:00,23.59,Kreuther,136.0,108.0,244.0,-4.6,0.4,0.2,95,0.0
2023.01.24,00:00:00,23.59,Kreuther,194.0,178.0,372.0,0.1,1.6,0.0,98,0.0
2023.01.25,00:00:00,23.59,Kreuther,230.0,176.0,406.0,-1.2,0.6,0.0,100,0.0
2023.01.26,00:00:00,23.59,Kreuther,195.0,165.0,360.0,-1.8,-1.0,0.1,99,0.0
2023.01.27,00:00:00,23.59,Kreuther,153.0,118.0,271.0,-2.1,-0.5,0.3,98,0.0
2023.01.28,00:00:00,23.59,Kreuther,60.0,76.0,136.0,-2.0,0.3,0.1,99,0.0
2023.01.29,00:00:00,23.59,Kreuther,47.0,49.0,96.0,-3.1,0.2,0.0,88,0.0
2023.01.30,00:00:00,23.59,Kreuther,253.0,176.0,429.0,-3.8,3.6,0.0,74,2.1
2023.01.31,00:00:00,23.59,Kreuther,283.0,222.0,505.0,1.1,3.9,0.0,94,2.8
2023.01.01,00:00:00,23.59,Olympia,581.0,529.0,1110.0,6.4,18.5,0.0,73,7.8
2023.01.02,00:00:00,23.59,Olympia,634.0,603.0,1237.0,3.5,14.9,0.4,81,4.2
2023.01.03,00:00:00,23.59,Olympia,450.0,471.0,921.0,3.7,10.4,0.7,91,0.0
2023.01.04,00:00:00,23.59,Olympia,578.0,561.0,1139.0,2.1,11.2,0.1,75,3.0
2023.01.05,00:00:00,23.59,Olympia,390.0,396.0,786.0,8.3,11.1,2.3,98,0.0
2023.01.06,00:00:00,23.59,Olympia,675.0,564.0,1239.0,4.6,10.9,0.0,88,5.9
2023.01.07,00:00:00,23.59,Olympia,631.0,620.0,1251.0,1.3,10.7,0.0,55,7.7
2023.01.08,00:00:00,23.59,Olympia,535.0,530.0,1065.0,0.4,8.8,0.1,91,1.3
2023.01.09,00:00:00,23.59,Olympia,813.0,829.0,1642.0,3.6,7.5,0.4,96,0.1
2023.01.10,00:00:00,23.59,Olympia,854.0,883.0,1737.0,1.0,5.2,0.2,86,1.0
2023.01.11,00:00:00,23.59,Olympia,777.0,791.0,1568.0,2.0,11.6,4.3,96,1.2
2023.01.12,00:00:00,23.59,Olympia,940.0,968.0,1908.0,3.8,9.0,0.0,91,0.7
2023.01.13,00:00:00,23.59,Olympia,745.0,742.0,1487.0,3.3,11.9,0.7,84,1.1
2023.01.14,00:00:00,23.59,Olympia,872.0,795.0,1667.0,3.3,10.0,0.2,85,3.3
2023.01.15,00:00:00,23.59,Olympia,521.0,478.0,999.0,2.2,13.4,0.9,96,0.0
