datum,zaehlstelle,uhrzeit_start,uhrzeit_ende,richtung_1,richtung_2,gesamt,min.temp,max.temp,niederschlag,bewoelkung,sonnenstunden,kommentar
2019-01-01,Arnulf,00:00,23:59,138.0,14.0,152.0,2.7,5.2,1.6,99,0.0,
2019-01-02,Arnulf,00:00,23:59,361.0,30.0,391.0,-2.1,3.2,0.6,88,0.7,
2019-01-03,Arnulf,00:00,23:59,345.0,32.0,377.0,-3.1,-0.6,0.0,93,2.9,
2019-01-04,Arnulf,00:00,23:59,255.0,27.0,282.0,-1.7,-0.3,5.0,96,0.0,
2019-01-05,Arnulf,00:00,23:59,41.0,12.0,53.0,-0.9,1.0,22.1,95,0.0,
2019-01-06,Arnulf,00:00,23:59,78.0,29.0,107.0,0.7,1.8,4.7,95,0.0,
2019-01-07,Arnulf,00:00,23:59,458.0,56.0,514.0,0.7,2.1,2.0,100,0.0,
2019-01-08,Arnulf,00:00,23:59,520.0,61.0,581.0,0.8,4.5,3.9,96,0.5,
2019-01-09,Arnulf,00:00,23:59,376.0,41.0,417.0,-1.5,1.8,15.8,91,0.0,
2019-01-10,Arnulf,00:00,23:59,164.0,11.0,175.0,-3.5,0.1,3.7,94,0.0,
2019-01-11,Arnulf,00:00,23:59,121.0,19.0,140.0,-4.1,-1.0,4.6,98,0.0,
2019-01-12,Arnulf,00:00,23:59,43.0,9.0,52.0,-1.1,2.9,6.0,99,0.1,
2019-01-13,Arnulf,00:00,23:59,91.0,10.0,101.0,1.4,5.4,8.1,99,0.0,
2019-01-14,Arnulf,00:00,23:59,492.0,60.0,552.0,-0.1,4.7,6.1,93,0.0,
2019-01-15,Arnulf,00:00,23:59,469.0,48.0,517.0,-0.8,3.4,0.0,100,0.2,
2019-01-16,Arnulf,00:00,23:59,660.0,69.0,729.0,-0.9,7.5,0.0,79,8.1,
2019-01-17,Arnulf,00:00,23:59,720.0,75.0,795.0,1.9,8.3,1.0,96,1.9,
2019-01-18,Arnulf,00:00,23:59,580.0,60.0,640.0,-2.9,2.2,0.1,93,1.5,
2019-01-19,Arnulf,00:00,23:59,259.0,21.0,280.0,-6.0,-0.1,0.0,80,5.8,
2019-01-20,Arnulf,00:00,23:59,174.0,19.0,193.0,-8.0,-1.5,0.0,75,2.7,
2019-01-21,Arnulf,00:00,23:59,632.0,63.0,695.0,-3.5,-1.9,0.0,100,0.0,
2019-01-22,Arnulf,00:00,23:59,651.0,69.0,720.0,-5.1,-1.2,0.0,100,0.0,
2019-01-23,Arnulf,00:00,23:59,683.0,60.0,743.0,-5.0,-3.3,0.0,100,0.0,
2019-01-24,Arnulf,00:00,23:59,707.0,57.0,764.0,-4.4,-0.4,0.1,91,1.8,
2019-01-25,Arnulf,00:00,23:59,472.0,48.0,520.0,-4.7,-2.6,0.7,98,1.0,
