datum,uhrzeit_start,uhrzeit_ende,zaehlstelle,richtung_1,richtung_2,gesamt,min-temp,max-temp,niederschlag,bewoelkung,sonnenstunden
2023.04.01,00:00:00,23.59,Arnulf,499,47,546,7,11.5,0.9,94,2
2023.04.02,00:00:00,23.59,Arnulf,429,41,470,1.4,11,2.9,98,0.7
2023.04.03,00:00:00,23.59,Arnulf,1056,75,1131,-0.4,6,0,88,2.2
2023.04.04,00:00:00,23.59,Arnulf,1232,65,1297,-2.5,5.4,0,21,9.5
2023.04.05,00:00:00,23.59,Arnulf,1178,87,1265,-2.8,7.5,0,35,12.3
2023.04.06,00:00:00,23.59,Arnulf,1150,76,1226,-1.5,11.4,0,43,10.3
2023.04.07,00:00:00,23.59,Arnulf,459,28,487,4.1,11.8,0,90,2.1
2023.04.08,00:00:00,23.59,Arnulf,412,33,445,3.5,6,0.3,88,0
2023.04.09,00:00:00,23.59,Arnulf,448,53,501,2.6,10.5,0,53,7.9
2023.04.10,00:00:00,23.59,Arnulf,740,36,776,1,15.3,0,63,11.5
2023.04.11,00:00:00,23.59,Arnulf,841,54,895,5,13,3.5,93,2.9
2023.04.12,00:00:00,23.59,Arnulf,846,52,898,4.8,14.4,17.7,95,1.3
2023.04.13,00:00:00,23.59,Arnulf,1041,66,1107,3.7,9.9,9.5,91,2.3
2023.04.14,00:00:00,23.59,Arnulf,651,46,697,3.3,9.7,12.1,96,1.6
2023.04.15,00:00:00,23.59,Arnulf,539,52,591,4.6,9.5,3,98,0.6
2023.04.16,00:00:00,23.59,Arnulf,472,31,503,4.5,8.7,0.2,98,0
2023.04.17,00:00:00,23.59,Arnulf,1270,98,1368,5,13.1,0.6,94,1.8
2023.04.18,00:00:00,23.59,Arnulf,1488,80,1568,5.9,11.4,0.3,98,0.2
2023.04.19,00:00:00,23.59,Arnulf,1031,72,1103,4,10.7,12.8,94,0
2023.04.20,00:00:00,23.59,Arnulf,1092,72,1164,3.5,8,0.2,99,0
2023.04.21,00:00:00,23.59,Arnulf,1777,118,1895,5.8,19.7,0,66,10.5
2023.04.22,00:00:00,23.59,Arnulf,1467,63,1530,6.1,22.5,0,96,11.7
