datum,uhrzeit_start,uhrzeit_ende,zaehlstelle,richtung_1,richtung_2,gesamt,min-temp,max-temp,niederschlag,bewoelkung,sonnenstunden
2023.08.01,00:00:00,23.59,Arnulf,1187,97,1284,15.5,20.6,1.6,89,2.5
2023.08.02,00:00:00,23.59,Arnulf,1674,111,1785,12.9,26.7,6.7,81,5.8
2023.08.03,00:00:00,23.59,Arnulf,2139,118,2257,15.5,24.9,2.5,65,10
2023.08.04,00:00:00,23.59,Arnulf,1351,91,1442,14.2,21.2,0.4,98,1.5
2023.08.05,00:00:00,23.59,Arnulf,749,61,810,14.2,18.7,11.5,99,0
2023.08.06,00:00:00,23.59,Arnulf,575,62,637,12,16.6,14,99,1.7
2023.08.07,00:00:00,23.59,Arnulf,1119,70,1189,10,18.7,0,98,2
2023.08.08,00:00:00,23.59,Arnulf,1860,100,1960,11.1,22.1,0.7,85,10
2023.08.09,00:00:00,23.59,Arnulf,1128,95,1223,14.2,20.7,5.9,99,0.9
2023.08.10,00:00:00,23.59,Arnulf,2032,112,2144,13,23.5,0,40,13.4
2023.08.11,00:00:00,23.59,Arnulf,1675,98,1773,12,28.9,0,18,13.7
2023.08.12,00:00:00,23.59,Arnulf,1624,106,1730,14.7,30.8,0,69,9.1
2023.08.13,00:00:00,23.59,Arnulf,1329,101,1430,18.1,30.5,5.7,88,10.4
2023.08.14,00:00:00,23.59,Arnulf,1858,127,1985,17.4,31.7,0,63,11.3
2023.08.15,00:00:00,23.59,Arnulf,1135,72,1207,18.8,31.4,2.6,60,8.2
2023.08.16,00:00:00,23.59,Arnulf,2191,142,2333,16.6,30,0,13,13.2
2023.08.17,00:00:00,23.59,Arnulf,2087,124,2211,17.3,30.7,3.8,49,10
2023.08.18,00:00:00,23.59,Arnulf,2004,142,2146,15.9,30.2,0,49,12.7
2023.08.19,00:00:00,23.59,Arnulf,1474,104,1578,15.7,32.9,0,14,13.1
2023.08.20,00:00:00,23.59,Arnulf,1251,108,1359,18.2,33.4,0,19,12.7
2023.08.21,00:00:00,23.59,Arnulf,1809,136,1945,18,33.6,0,8,13.2
2023.08.22,00:00:00,23.59,Arnulf,1953,109,2062,19.9,33.8,0,15,12.7
2023.08.23,00:00:00,23.59,Arnulf,1916,103,2019,21.1,31.5,0,53,10.2
2023.08.24,00:00:00,23.59,Arnulf,1850,124,1974,18.8,34.5,2.7,51,11
2023.08.25,00:00:00,23.59,Arnulf,1244,84,1328,20.1,29.1,12.4,94,4.7
2023.08.26,00:00:00,23.59,Arnulf,863,44,907,14.9,26.1,21.4,93,3.2
2023.08.27,00:00:00,23.59,Arnulf,295,38,333,14.2,17.3,31.2,95,0
2023.08.28,00:00:00,23.59,Arnulf,432,51,483,11.4,15.8,41.6,96,0
2023.08.29,00:00:00,23.59,Arnulf,513,34,547,10,13.7,30.5,93,0
2023.08.30,00:00:00,23.59,Arnulf,1245,84,1329,11.7,19,0.9,94,3.7
2023.08.31,00:00:00,23.59,Arnulf,1394,88,1482,12.3,18.8,2.6,93,1.9
2023.08.01,00:00:00,23.59,Olympia,991,971,1962,15.5,20.6,1.6,89,2.5
2023.08.02,00:00:00,23.59,Olympia,1457,1464,2921,12.9,26.7,6.7,81,5.8
2023.08.03,00:00:00,23.59,Olympia,1927,1863,3790,15.5,24.9,2.5,65,10
2023.08.04,00:00:00,23.59,Olympia,1711,1337,3048,14.2,21.2,0.4,98,1.5
2023.08.05,00:00:00,23.59,Olympia,589,583,1172,14.2,18.7,11.5,99,0
2023.08.06,00:00:00,23.59,Olympia,582,511,1093,12,16.6,14,99,1.7
2023.08.07,00:00:00,23.59,Olympia,957,878,1835,10,18.7,0,98,2
2023.08.08,00:00:00,23.59,Olympia,1787,1754,3541,11.1,22.1,0.7,85,10
2023.08.09,00:00:00,23.59,Olympia,901,863,1764,14.2,20.7,5.9,99,0.9
2023.08.10,00:00:00,23.59,Olympia,2421,2375,4796,13,23.5,0,40,13.4
2023.08.11,00:00:00,23.59,Olympia,2234,2203,4437,12,28.9,0,18,13.7
2023.08.12,00:00:00,23.59,Olympia,1629,1528,3157,14.7,30.8,0,69,9.1
2023.08.13,00:00:00,23.59,Olympia,1522,1527,3049,18.1,30.5,5.7,88,10.4
2023.08.14,00:00:00,23.59,Olympia,1475,1420,2895,17.4,31.7,0,63,11.3
2023.08.15,00:00:00,23.59,Olympia,1073,1034,2107,18.8,31.4,2.6,60,8.2
2023.08.16,00:00:00,23.59,Olympia,1648,1650,3298,16.6,30,0,13,13.2
2023.08.17,00:00:00,23.59,Olympia,1469,1429,2898,17.3,30.7,3.8,49,10
2023.08.18,00:00:00,23.59,Olympia,2237,1982,4219,15.9,30.2,0,49,12.7
2023.08.19,00:00:00,23.59,Olympia,1384,1323,2707,15.7,32.9,0,14,13.1
2023.08.20,00:00:00,23.59,Olympia,1478,1406,2884,18.2,33.4,0,19,12.7
