datum,uhrzeit_start,uhrzeit_ende,zaehlstelle,richtung_1,richtung_2,gesamt,min-temp,max-temp,niederschlag,bewoelkung,sonnenstunden
2023.02.01,00:00:00,23.59,Arnulf,967,56,1023,2.8,5,0,99,0
2023.02.02,00:00:00,23.59,Arnulf,715,50,765,3.4,4.6,2.8,94,0
2023.02.03,00:00:00,23.59,Arnulf,658,53,711,4.3,7.1,3.3,98,0.1
2023.02.04,00:00:00,23.59,Arnulf,440,42,482,-0.9,4.7,0,89,0.9
2023.02.05,00:00:00,23.59,Arnulf,373,29,402,-3,3.8,0.6,91,3.6
2023.02.06,00:00:00,23.59,Arnulf,868,71,939,-3.8,0,0,66,3.7
2023.02.07,00:00:00,23.59,Arnulf,970,85,1055,-5.7,2.1,0,4,9.4
2023.02.08,00:00:00,23.59,Arnulf,931,72,1003,-6,-0.2,0,0,9.5
2023.02.09,00:00:00,23.59,Arnulf,938,65,1003,-7.3,4.9,0,3,9.4
2023.02.10,00:00:00,23.59,Arnulf,737,57,794,-4.3,5.3,0,33,9.3
2023.02.11,00:00:00,23.59,Arnulf,442,27,469,-2.4,7.2,0,86,1.8
2023.02.12,00:00:00,23.59,Arnulf,475,27,502,0.7,9.1,0,75,4.5
2023.02.13,00:00:00,23.59,Arnulf,947,63,1010,-1,2.5,0,100,0
2023.02.14,00:00:00,23.59,Arnulf,1181,68,1249,-1.8,5.3,0,73,7
2023.02.15,00:00:00,23.59,Arnulf,1086,81,1167,-2.4,8,0,69,7.5
2023.02.16,00:00:00,23.59,Arnulf,1201,64,1265,-2.6,13.4,0,88,8.9
2023.02.17,00:00:00,23.59,Arnulf,920,74,994,8.4,13.8,0.2,99,1.2
2023.02.18,00:00:00,23.59,Arnulf,658,55,713,10.3,14.8,2.9,94,4.9
2023.02.19,00:00:00,23.59,Arnulf,423,25,448,7.5,11.3,0,98,1.4
2023.02.20,00:00:00,23.59,Arnulf,1131,99,1230,5.4,14.7,0,49,8.6
2023.02.21,00:00:00,23.59,Arnulf,1225,60,1285,4.3,16.2,0,33,10.2
2023.02.22,00:00:00,23.59,Arnulf,1251,93,1344,2.1,16.4,0,96,7.7
2023.02.23,00:00:00,23.59,Arnulf,1182,85,1267,5.2,11.6,0.2,88,0.2
2023.02.24,00:00:00,23.59,Arnulf,732,59,791,2.2,11,21.8,83,1.1
2023.02.25,00:00:00,23.59,Arnulf,421,23,444,-1.9,5.7,2.8,96,1.1
2023.02.26,00:00:00,23.59,Arnulf,241,19,260,-4.4,1.1,0.3,88,1.4
2023.02.27,00:00:00,23.59,Arnulf,765,52,817,-2.6,0.2,0,94,0.6
2023.02.28,00:00:00,23.59,Arnulf,935,60,995,-3.6,3.4,0,83,4.1
2023.02.01,00:00:00,23.59,Kreuther,270,215,485,2.8,5,0,99,0
2023.02.02,00:00:00,23.59,Kreuther,200,145,345,3.4,4.6,2.8,94,0
2023.02.03,00:00:00,23.59,Kreuther,219,165,384,4.3,7.1,3.3,98,0.1
2023.02.04,00:00:00,23.59,Kreuther,125,110,235,-0.9,4.7,0,89,0.9
2023.02.05,00:00:00,23.59,Kreuther,89,84,173,-3,3.8,0.6,91,3.6
2023.02.06,00:00:00,23.59,Kreuther,266,209,475,-3.8,0,0,66,3.7
2023.02.07,00:00:00,23.59,Kreuther,316,238,554,-5.7,2.1,0,4,9.4
2023.02.08,00:00:00,23.59,Kreuther,288,246,534,-6,-0.2,0,0,9.5
2023.02.09,00:00:00,23.59,Kreuther,281,211,492,-7.3,4.9,0,3,9.4
2023.02.10,00:00:00,23.59,Kreuther,268,203,471,-4.3,5.3,0,33,9.3
2023.02.11,00:00:00,23.59,Kreuther,116,103,219,-2.4,7.2,0,86,1.8
2023.02.12,00:00:00,23.59,Kreuther,121,96,217,0.7,9.1,0,75,4.5
2023.02.13,00:00:00,23.59,Kreuther,308,223,531,-1,2.5,0,100,0
2023.02.14,00:00:00,23.59,Kreuther,338,260,598,-1.8,5.3,0,73,7
2023.02.15,00:00:00,23.59,Kreuther,337,270,607,-2.4,8,0,69,7.5
2023.02.16,00:00:00,23.59,Kreuther,379,277,656,-2.6,13.4,0,88,8.9
