datum,uhrzeit_start,uhrzeit_ende,zaehlstelle,richtung_1,richtung_2,gesamt,min-temp,max-temp,niederschlag,bewoelkung,sonnenstunden
2023.07.01,00:00:00,23.59,Arnulf,1359,83,1442,14.4,23.7,2.2,91,3.8
2023.07.02,00:00:00,23.59,Arnulf,958,71,1029,13.5,23.7,2.8,75,5.8
2023.07.03,00:00:00,23.59,Arnulf,2282,137,2419,15.1,24.4,0.4,74,5.3
2023.07.04,00:00:00,23.59,Arnulf,2466,136,2602,15.3,25.6,0,83,8.2
2023.07.05,00:00:00,23.59,Arnulf,2002,111,2113,14,23.4,2,65,6.1
2023.07.06,00:00:00,23.59,Arnulf,2499,132,2631,12.4,25.2,0,63,11.6
2023.07.07,00:00:00,23.59,Arnulf,2332,124,2456,13.5,29.1,0,6,15.3
2023.07.08,00:00:00,23.59,Arnulf,1663,107,1770,15.6,30.3,0,75,10.3
2023.07.09,00:00:00,23.59,Arnulf,1433,91,1524,17.8,33.5,0,38,14.1
2023.07.10,00:00:00,23.59,Arnulf,2110,159,2269,19.5,31.7,0.6,53,8.9
2023.07.11,00:00:00,23.59,Arnulf,2378,99,2477,18,35.5,8,21,14.1
2023.07.12,00:00:00,23.59,Arnulf,1773,106,1879,18.2,28.7,16.6,89,4.3
2023.07.13,00:00:00,23.59,Arnulf,2106,125,2231,16.6,23.9,0,78,5.6
2023.07.14,00:00:00,23.59,Arnulf,2183,123,2306,15.8,27.9,0,71,13.4
2023.07.15,00:00:00,23.59,Arnulf,1429,85,1514,19,35.9,2.6,18,14.4
2023.07.16,00:00:00,23.59,Arnulf,1267,89,1356,18.8,26.1,8.2,79,5
2023.07.17,00:00:00,23.59,Arnulf,2120,118,2238,18,28.1,0,69,8.4
2023.07.18,00:00:00,23.59,Arnulf,2469,137,2606,16.4,28.6,0.3,56,9.1
2023.07.19,00:00:00,23.59,Arnulf,2592,127,2719,19.1,29.6,0,41,12
2023.07.20,00:00:00,23.59,Arnulf,2596,127,2723,16.6,25.5,0,90,8
2023.07.21,00:00:00,23.59,Arnulf,1617,97,1714,14.6,24.4,10.2,95,2.9
2023.07.22,00:00:00,23.59,Arnulf,1779,66,1845,13.2,25.4,0,41,11.4
2023.07.23,00:00:00,23.59,Arnulf,1394,92,1486,16.5,29.3,1.4,60,10.2
2023.07.24,00:00:00,23.59,Arnulf,1619,93,1712,17.1,26.5,3.6,96,4.1
2023.07.25,00:00:00,23.59,Arnulf,1316,91,1407,12.1,21,12.9,94,2
2023.07.26,00:00:00,23.59,Arnulf,1238,89,1327,11,17.6,4.7,86,2.8
2023.07.27,00:00:00,23.59,Arnulf,1995,103,2098,10.4,22.1,0,89,3.6
2023.07.28,00:00:00,23.59,Arnulf,1698,90,1788,14.6,25,2.9,75,3.8
2023.07.29,00:00:00,23.59,Arnulf,856,65,921,15.7,25.5,11.7,85,3.4
2023.07.30,00:00:00,23.59,Arnulf,1171,69,1240,16.4,24.2,2,79,8.9
2023.07.31,00:00:00,23.59,Arnulf,2085,114,2199,15.5,24.8,2.4,94,6.5
2023.07.01,00:00:00,23.59,Olympia,2758,2465,5223,14.4,23.7,2.2,91,3.8
2023.07.02,00:00:00,23.59,Olympia,2773,2312,5085,13.5,23.7,2.8,75,5.8
2023.07.03,00:00:00,23.59,Olympia,2319,2286,4605,15.1,24.4,0.4,74,5.3
2023.07.04,00:00:00,23.59,Olympia,2397,2345,4742,15.3,25.6,0,83,8.2
2023.07.05,00:00:00,23.59,Olympia,2878,2244,5122,14,23.4,2,65,6.1
2023.07.06,00:00:00,23.59,Olympia,3282,2608,5890,12.4,25.2,0,63,11.6
2023.07.07,00:00:00,23.59,Olympia,2189,2271,4460,13.5,29.1,0,6,15.3
2023.07.08,00:00:00,23.59,Olympia,1914,1923,3837,15.6,30.3,0,75,10.3
2023.07.09,00:00:00,23.59,Olympia,1834,1827,3661,17.8,33.5,0,38,14.1
2023.07.10,00:00:00,23.59,Olympia,2159,2110,4269,19.5,31.7,0.6,53,8.9
2023.07.11,00:00:00,23.59,Olympia,4193,3890,8083,18,35.5,8,21,14.1
2023.07.12,00:00:00,23.59,Olympia,1564,1587,3151,18.2,28.7,16.6,89,4.3
2023.07.13,00:00:00,23.59,Olympia,2073,2152,4225,16.6,23.9,0,78,5.6
2023.07.14,00:00:00,23.59,Olympia,2278,2200,4478,15.8,27.9,0,71,13.4
2023.07.15,00:00:00,23.59,Olympia,427,368,795,19,35.9,2.6,18,14.4
2023.07.16,00:00:00,23.59,Olympia,1871,1809,3680,18.8,26.1,8.2,79,5
2023.07.17,00:00:00,23.59,Olympia,1827,1850,3677,18,28.1,0,69,8.4
2023.07.18,00:00:00,23.59,Olympia,2000,2042,4042,16.4,28.6,0.3,56,9.1
2023.07.19,00:00:00,23.59,Olympia,2109,2173,4282,19.1,29.6,0,41,12
2023.07.20,00:00:00,23.59,Olympia,2169,2235,4404,16.6,25.5,0,90,8
2023.07.21,00:00:00,23.59,Olympia,1405,1457,2862,14.6,24.4,10.2,95,2.9
2023.07.22,00:00:00,23.59,Olympia,1656,1629,3285,13.2,25.4,0,41,11.4
2023.07.23,00:00:00,23.59,Olympia,2768,1837,4605,16.5,29.3,1.4,60,10.2
2023.07.24,00:00:00,23.59,Olympia,1059,770,1829,17.1,26.5,3.6,96,4.1
2023.07.25,00:00:00,23.59,Olympia,916,790,1706,12.1,21,12.9,94,2
2023.07.26,00:00:00,23.59,Olympia,832,813,1645,11,17.6,4.7,86,2.8
2023.07.27,00:00:00,23.59,Olympia,1521,1515,3036,10.4,22.1,0,89,3.6
2023.07.28,00:00:00,23.59,Olympia,1445,1454,2899,14.6,25,2.9,75,3.8
2023.07.29,00:00:00,23.59,Olympia,744,714,1458,15.7,25.5,11.7,85,3.4
2023.07.30,00:00:00,23.59,Olympia,1860,1638,3498,16.4,24.2,2,79,8.9
2023.07.31,00:00:00,23.59,Olympia,2022,1979,4001,15.5,24.8,2.4,94,6.5
2023.07.01,00:00:00,23.59,Hirsch,665,701,1366,14.4,23.7,2.2,91,3.8
2023.07.02,00:00:00,23.59,Hirsch,503,475,978,13.5,23.7,2.8,75,5.8
2023.07.03,00:00:00,23.59,Hirsch,1612,1669,3281,15.1,24.4,0.4,74,5.3
2023.07.04,00:00:00,23.59,Hirsch,1683,1690,3373,15.3,25.6,0,83,8.2
2023.07.05,00:00:00,23.59,Hirsch,1325,1390,2715,14,23.4,2,65,6.1
2023.07.06,00:00:00,23.59,Hirsch,1654,1674,3328,12.4,25.2,0,63,11.6
2023.07.07,00:00:00,23.59,Hirsch,1309,1381,2690,13.5,29.1,0,6,15.3
2023.07.08,00:00:00,23.59,Hirsch,798,765,1563,15.6,30.3,0,75,10.3
2023.07.09,00:00:00,23.59,Hirsch,656,617,1273,17.8,33.5,0,38,14.1
2023.07.10,00:00:00,23.59,Hirsch,1504,1482,2986,19.5,31.7,0.6,53,8.9
2023.07.11,00:00:00,23.59,Hirsch,1513,1632,3145,18,35.5,8,21,14.1
2023.07.12,00:00:00,23.59,Hirsch,1199,1265,2464,18.2,28.7,16.6,89,4.3
2023.07.13,00:00:00,23.59,Hirsch,1326,1334,2660,16.6,23.9,0,78,5.6
2023.07.14,00:00:00,23.59,Hirsch,1302,1402,2704,15.8,27.9,0,71,13.4
2023.07.15,00:00:00,23.59,Hirsch,542,539,1081,19,35.9,2.6,18,14.4
2023.07.16,00:00:00,23.59,Hirsch,744,687,1431,18.8,26.1,8.2,79,5
2023.07.17,00:00:00,23.59,Hirsch,1245,1282,2527,18,28.1,0,69,8.4
2023.07.18,00:00:00,23.59,Hirsch,1668,1711,3379,16.4,28.6,0.3,56,9.1
2023.07.19,00:00:00,23.59,Hirsch,1603,1686,3289,19.1,29.6,0,41,12
2023.07.20,00:00:00,23.59,Hirsch,1638,1686,3324,16.6,25.5,0,90,8
2023.07.21,00:00:00,23.59,Hirsch,952,1008,1960,14.6,24.4,10.2,95,2.9
2023.07.22,00:00:00,23.59,Hirsch,766,830,1596,13.2,25.4,0,41,11.4
2023.07.23,00:00:00,23.59,Hirsch,732,702,1434,16.5,29.3,1.4,60,10.2
2023.07.24,00:00:00,23.59,Hirsch,1081,1130,2211,17.1,26.5,3.6,96,4.1
2023.07.25,00:00:00,23.59,Hirsch,853,926,1779,12.1,21,12.9,94,2
2023.07.26,00:00:00,23.59,Hirsch,743,758,1501,11,17.6,4.7,86,2.8
2023.07.27,00:00:00,23.59,Hirsch,1287,1388,2675,10.4,22.1,0,89,3.6
2023.07.28,00:00:00,23.59,Hirsch,992,1044,2036,14.6,25,2.9,75,3.8
2023.07.29,00:00:00,23.59,Hirsch,317,330,647,15.7,25.5,11.7,85,3.4
2023.07.30,00:00:00,23.59,Hirsch,602,617,1219,16.4,24.2,2,79,8.9
2023.07.31,00:00:00,23.59,Hirsch,1366,1422,2788,15.5,24.8,2.4,94,6.5
2023.07.01,00:00:00,23.59,Margareten,1942,1921,3863,14.4,23.7,2.2,91,3.8
2023.07.02,00:00:00,23.59,Margareten,1402,1305,2707,13.5,23.7,2.8,75,5.8
2023.07.03,00:00:00,23.59,Margareten,3197,3132,6329,15.1,24.4,0.4,74,5.3
2023.07.04,00:00:00,23.59,Margareten,3264,3295,6559,15.3,25.6,0,83,8.2
2023.07.05,00:00:00,23.59,Margareten,2787,2816,5603,14,23.4,2,65,6.1
2023.07.06,00:00:00,23.59,Margareten,3425,3376,6801,12.4,25.2,0,63,11.6
2023.07.07,00:00:00,23.59,Margareten,3186,3135,6321,13.5,29.1,0,6,15.3
2023.07.08,00:00:00,23.59,Margareten,2268,2308,4576,15.6,30.3,0,75,10.3
2023.07.09,00:00:00,23.59,Margareten,1944,1924,3868,17.8,33.5,0,38,14.1
2023.07.10,00:00:00,23.59,Margareten,3124,3059,6183,19.5,31.7,0.6,53,8.9
2023.07.11,00:00:00,23.59,Margareten,3476,3436,6912,18,35.5,8,21,14.1
2023.07.12,00:00:00,23.59,Margareten,2552,2632,5184,18.2,28.7,16.6,89,4.3
2023.07.13,00:00:00,23.59,Margareten,2951,2878,5829,16.6,23.9,0,78,5.6
2023.07.14,00:00:00,23.59,Margareten,3224,3316,6540,15.8,27.9,0,71,13.4
2023.07.15,00:00:00,23.59,Margareten,2125,2274,4399,19,35.9,2.6,18,14.4
2023.07.16,00:00:00,23.59,Margareten,1805,1688,3493,18.8,26.1,8.2,79,5
2023.07.17,00:00:00,23.59,Margareten,2991,2927,5918,18,28.1,0,69,8.4
2023.07.18,00:00:00,23.59,Margareten,3367,3338,6705,16.4,28.6,0.3,56,9.1
2023.07.19,00:00:00,23.59,Margareten,3553,3482,7035,19.1,29.6,0,41,12
2023.07.20,00:00:00,23.59,Margareten,3435,3356,6791,16.6,25.5,0,90,8
2023.07.21,00:00:00,23.59,Margareten,2593,2525,5118,14.6,24.4,10.2,95,2.9
2023.07.22,00:00:00,23.59,Margareten,2370,2364,4734,13.2,25.4,0,41,11.4
2023.07.23,00:00:00,23.59,Margareten,2200,2064,4264,16.5,29.3,1.4,60,10.2
2023.07.24,00:00:00,23.59,Margareten,2508,2602,5110,17.1,26.5,3.6,96,4.1
2023.07.25,00:00:00,23.59,Margareten,2277,2215,4492,12.1,21,12.9,94,2
2023.07.26,00:00:00,23.59,Margareten,1990,2015,4005,11,17.6,4.7,86,2.8
2023.07.27,00:00:00,23.59,Margareten,2930,2850,5780,10.4,22.1,0,89,3.6
2023.07.28,00:00:00,23.59,Margareten,2609,2577,5186,14.6,25,2.9,75,3.8
2023.07.29,00:00:00,23.59,Margareten,1396,1420,2816,15.7,25.5,11.7,85,3.4
2023.07.30,00:00:00,23.59,Margareten,1469,1454,2923,16.4,24.2,2,79,8.9
2023.07.31,00:00:00,23.59,Margareten,2769,2661,5430,15.5,24.8,2.4,94,6.5
2023.07.01,00:00:00,23.59,Erhardt,3092,3003,6095,14.4,23.7,2.2,91,3.8
2023.07.02,00:00:00,23.59,Erhardt,2640,2372,5012,13.5,23.7,2.8,75,5.8
2023.07.03,00:00:00,23.59,Erhardt,4494,4255,8749,15.1,24.4,0.4,74,5.3
2023.07.04,00:00:00,23.59,Erhardt,5050,4701,9751,15.3,25.6,0,83,8.2
2023.07.05,00:00:00,23.59,Erhardt,4175,3920,8095,14,23.4,2,65,6.1
2023.07.06,00:00:00,23.59,Erhardt,5364,5118,10482,12.4,25.2,0,63,11.6
2023.07.07,00:00:00,23.59,Erhardt,5248,4863,10111,13.5,29.1,0,6,15.3
2023.07.08,00:00:00,23.59,Erhardt,4660,4202,8862,15.6,30.3,0,75,10.3
