datum,uhrzeit_start,uhrzeit_ende,zaehlstelle,richtung_1,richtung_2,gesamt,min-temp,max-temp,niederschlag,bewoelkung,sonnenstunden
2023.06.01,00:00:00,23.59,Arnulf,2192,115,2307,12.2,25.5,0,64,12.8
2023.06.02,00:00:00,23.59,Arnulf,1925,113,2038,12.7,25.7,0,45,15.1
2023.06.03,00:00:00,23.59,Arnulf,1485,56,1541,11.8,23.5,0,11,13.5
2023.06.04,00:00:00,23.59,Arnulf,1275,80,1355,9.9,24.1,0,50,12.7
2023.06.05,00:00:00,23.59,Arnulf,1633,70,1703,13.4,23.1,0,85,7
2023.06.06,00:00:00,23.59,Arnulf,1960,89,2049,12.5,23,0,56,7.7
2023.06.07,00:00:00,23.59,Arnulf,2050,101,2151,11.3,25.7,0,9,14.2
2023.06.08,00:00:00,23.59,Arnulf,1168,44,1212,11.3,26.2,7.1,54,11.1
2023.06.09,00:00:00,23.59,Arnulf,1675,104,1779,13.1,26,0,24,13.5
2023.06.10,00:00:00,23.59,Arnulf,1373,71,1444,13,25.3,0,29,11.3
2023.06.11,00:00:00,23.59,Arnulf,1226,87,1313,13.8,26,0,11,14.3
2023.06.12,00:00:00,23.59,Arnulf,2283,111,2394,14.2,25.3,0,0,15.4
2023.06.13,00:00:00,23.59,Arnulf,2591,127,2718,11.8,24,0,0,15.5
2023.06.14,00:00:00,23.59,Arnulf,2529,158,2687,9.6,24.7,0,13,13.6
2023.06.15,00:00:00,23.59,Arnulf,2506,123,2629,12.3,24.2,0,49,7.8
2023.06.16,00:00:00,23.59,Arnulf,2114,102,2216,11.7,25.2,0,54,10.2
2023.06.17,00:00:00,23.59,Arnulf,1620,97,1717,13.8,26.8,0,24,13.4
2023.06.18,00:00:00,23.59,Arnulf,1422,71,1493,13.1,30.2,0,53,13.4
2023.06.19,00:00:00,23.59,Arnulf,2254,105,2359,18.2,30.5,1.1,76,9
2023.06.20,00:00:00,23.59,Arnulf,2393,111,2504,17.2,32.6,5,74,10.8
2023.06.21,00:00:00,23.59,Arnulf,2473,124,2597,18.1,28.8,0,60,12
2023.06.22,00:00:00,23.59,Arnulf,2220,103,2323,17.7,34.5,20.3,54,12.1
2023.06.23,00:00:00,23.59,Arnulf,1455,94,1549,15.9,24.2,0.4,91,3.4
2023.06.24,00:00:00,23.59,Arnulf,1636,98,1734,15.7,25.5,0,58,8
2023.06.25,00:00:00,23.59,Arnulf,1368,95,1463,13.1,28.1,0,0,15.6
2023.06.26,00:00:00,23.59,Arnulf,2253,112,2365,15,31.9,0,39,11
2023.06.27,00:00:00,23.59,Arnulf,2375,115,2490,16.7,22.4,2,94,5.9
2023.06.28,00:00:00,23.59,Arnulf,2302,106,2408,12.9,23.6,0,60,7.5
