datum,uhrzeit_start,uhrzeit_ende,zaehlstelle,richtung_1,richtung_2,gesamt,min-temp,max-temp,niederschlag,bewoelkung,sonnenstunden
2023.03.01,00:00:00,23.59,Arnulf,1018,86,1104,-1.1,6.2,0,61,5.8
2023.03.02,00:00:00,23.59,Arnulf,2025,92,2117,-1.2,11.5,0,25,10.3
2023.03.03,00:00:00,23.59,Arnulf,2078,101,2179,-0.2,7.5,0,79,2.8
2023.03.04,00:00:00,23.59,Arnulf,726,59,785,-0.6,6.7,0,65,9.6
2023.03.05,00:00:00,23.59,Arnulf,427,36,463,-0.4,3.4,0,99,0
2023.03.06,00:00:00,23.59,Arnulf,1048,87,1135,0.8,3.9,0,99,0
2023.03.07,00:00:00,23.59,Arnulf,1330,86,1416,1.6,8.3,0,83,9.5
2023.03.08,00:00:00,23.59,Arnulf,1136,68,1204,2.2,12.4,5.1,94,1.5
2023.03.09,00:00:00,23.59,Arnulf,1066,60,1126,7,14.1,0,80,5.4
2023.03.10,00:00:00,23.59,Arnulf,849,75,924,2.8,13.2,0.6,91,2.4
2023.03.11,00:00:00,23.59,Arnulf,646,50,696,-0.1,5.3,0,85,7.9
2023.03.12,00:00:00,23.59,Arnulf,339,41,380,-0.2,9.8,1.9,98,0.3
2023.03.13,00:00:00,23.59,Arnulf,1293,81,1374,4.9,19.5,3.3,91,6.9
2023.03.14,00:00:00,23.59,Arnulf,1090,97,1187,3.6,12.7,6.4,94,0.5
2023.03.15,00:00:00,23.59,Arnulf,1049,101,1150,-0.1,7,0.1,83,5.4
2023.03.16,00:00:00,23.59,Arnulf,1354,93,1447,-0.5,10.2,0,91,9.7
2023.03.17,00:00:00,23.59,Arnulf,1261,81,1342,1.3,16.3,0,94,9.8
2023.03.18,00:00:00,23.59,Arnulf,958,50,1008,4.6,18.3,0,83,7.5
2023.03.19,00:00:00,23.59,Arnulf,584,48,632,5.9,14.1,4.7,100,1.4
2023.03.20,00:00:00,23.59,Arnulf,1261,88,1349,7.5,13.3,0,98,2.3
2023.03.21,00:00:00,23.59,Arnulf,1653,97,1750,7.6,15.9,0,98,4
2023.03.22,00:00:00,23.59,Arnulf,1744,102,1846,7.3,19.4,0,91,11.3
2023.03.23,00:00:00,23.59,Arnulf,1609,82,1691,9.6,18.5,0.2,100,0.3
2023.03.24,00:00:00,23.59,Arnulf,863,67,930,8.7,15.3,2.1,95,0.1
2023.03.25,00:00:00,23.59,Arnulf,704,36,740,7.3,11.9,0,75,5.1
2023.03.26,00:00:00,23.59,Arnulf,431,34,465,5.1,9.3,4.8,96,0.2
2023.03.27,00:00:00,23.59,Arnulf,1684,85,1769,0.2,5.2,2.2,79,2.2
2023.03.28,00:00:00,23.59,Arnulf,1330,83,1413,-1,7.3,0.3,73,7.9
2023.03.29,00:00:00,23.59,Arnulf,1258,82,1340,2.7,14.7,8.5,96,0.8
2023.03.30,00:00:00,23.59,Arnulf,989,76,1065,9,16.6,5.4,90,1.5
2023.03.31,00:00:00,23.59,Arnulf,865,60,925,7.7,14.3,3,93,2.7
2023.03.01,00:00:00,23.59,Kreuther,372,264,636,-1.1,6.2,0,61,5.8
2023.03.02,00:00:00,23.59,Kreuther,589,428,1017,-1.2,11.5,0,25,10.3
2023.03.03,00:00:00,23.59,Kreuther,522,376,898,-0.2,7.5,0,79,2.8
2023.03.04,00:00:00,23.59,Kreuther,200,191,391,-0.6,6.7,0,65,9.6
2023.03.05,00:00:00,23.59,Kreuther,124,93,217,-0.4,3.4,0,99,0
2023.03.06,00:00:00,23.59,Kreuther,356,261,617,0.8,3.9,0,99,0
2023.03.07,00:00:00,23.59,Kreuther,444,359,803,1.6,8.3,0,83,9.5
2023.03.08,00:00:00,23.59,Kreuther,372,271,643,2.2,12.4,5.1,94,1.5
2023.03.09,00:00:00,23.59,Kreuther,303,236,539,7,14.1,0,80,5.4
2023.03.10,00:00:00,23.59,Kreuther,304,222,526,2.8,13.2,0.6,91,2.4
2023.03.11,00:00:00,23.59,Kreuther,180,149,329,-0.1,5.3,0,85,7.9
2023.03.12,00:00:00,23.59,Kreuther,93,73,166,-0.2,9.8,1.9,98,0.3
2023.03.13,00:00:00,23.59,Kreuther,534,383,917,4.9,19.5,3.3,91,6.9
2023.03.14,00:00:00,23.59,Kreuther,351,251,602,3.6,12.7,6.4,94,0.5
2023.03.15,00:00:00,23.59,Kreuther,354,288,642,-0.1,7,0.1,83,5.4
2023.03.16,00:00:00,23.59,Kreuther,431,345,776,-0.5,10.2,0,91,9.7
2023.03.17,00:00:00,23.59,Kreuther,466,341,807,1.3,16.3,0,94,9.8
2023.03.18,00:00:00,23.59,Kreuther,308,257,565,4.6,18.3,0,83,7.5
2023.03.19,00:00:00,23.59,Kreuther,166,118,284,5.9,14.1,4.7,100,1.4
2023.03.20,00:00:00,23.59,Kreuther,441,341,782,7.5,13.3,0,98,2.3
2023.03.21,00:00:00,23.59,Kreuther,563,410,973,7.6,15.9,0,98,4
2023.03.22,00:00:00,23.59,Kreuther,619,450,1069,7.3,19.4,0,91,11.3
2023.03.23,00:00:00,23.59,Kreuther,502,365,867,9.6,18.5,0.2,100,0.3
2023.03.24,00:00:00,23.59,Kreuther,291,223,514,8.7,15.3,2.1,95,0.1
2023.03.25,00:00:00,23.59,Kreuther,175,135,310,7.3,11.9,0,75,5.1
2023.03.26,00:00:00,23.59,Kreuther,84,89,173,5.1,9.3,4.8,96,0.2
2023.03.27,00:00:00,23.59,Kreuther,405,291,696,0.2,5.2,2.2,79,2.2
2023.03.28,00:00:00,23.59,Kreuther,411,304,715,-1,7.3,0.3,73,7.9
2023.03.29,00:00:00,23.59,Kreuther,479,341,820,2.7,14.7,8.5,96,0.8
2023.03.30,00:00:00,23.59,Kreuther,311,228,539,9,16.6,5.4,90,1.5
2023.03.31,00:00:00,23.59,Kreuther,288,226,514,7.7,14.3,3,93,2.7
2023.03.01,00:00:00,23.59,Olympia,788,844,1632,-1.1,6.2,0,61,5.8
2023.03.02,00:00:00,23.59,Olympia,1297,1418,2715,-1.2,11.5,0,25,10.3
2023.03.03,00:00:00,23.59,Olympia,1183,1269,2452,-0.2,7.5,0,79,2.8
2023.03.04,00:00:00,23.59,Olympia,719,749,1468,-0.6,6.7,0,65,9.6
2023.03.05,00:00:00,23.59,Olympia,414,381,795,-0.4,3.4,0,99,0
2023.03.06,00:00:00,23.59,Olympia,735,766,1501,0.8,3.9,0,99,0
2023.03.07,00:00:00,23.59,Olympia,938,950,1888,1.6,8.3,0,83,9.5
2023.03.08,00:00:00,23.59,Olympia,736,737,1473,2.2,12.4,5.1,94,1.5
2023.03.09,00:00:00,23.59,Olympia,723,737,1460,7,14.1,0,80,5.4
2023.03.10,00:00:00,23.59,Olympia,700,700,1400,2.8,13.2,0.6,91,2.4
2023.03.11,00:00:00,23.59,Olympia,497,563,1060,-0.1,5.3,0,85,7.9
2023.03.12,00:00:00,23.59,Olympia,287,264,551,-0.2,9.8,1.9,98,0.3
2023.03.13,00:00:00,23.59,Olympia,1118,1120,2238,4.9,19.5,3.3,91,6.9
2023.03.14,00:00:00,23.59,Olympia,742,729,1471,3.6,12.7,6.4,94,0.5
2023.03.15,00:00:00,23.59,Olympia,794,817,1611,-0.1,7,0.1,83,5.4
2023.03.16,00:00:00,23.59,Olympia,921,944,1865,-0.5,10.2,0,91,9.7
2023.03.17,00:00:00,23.59,Olympia,1113,1174,2287,1.3,16.3,0,94,9.8
2023.03.18,00:00:00,23.59,Olympia,1153,1121,2274,4.6,18.3,0,83,7.5
2023.03.19,00:00:00,23.59,Olympia,672,637,1309,5.9,14.1,4.7,100,1.4
2023.03.20,00:00:00,23.59,Olympia,1036,1078,2114,7.5,13.3,0,98,2.3
2023.03.21,00:00:00,23.59,Olympia,1137,1210,2347,7.6,15.9,0,98,4
2023.03.22,00:00:00,23.59,Olympia,1531,1535,3066,7.3,19.4,0,91,11.3
2023.03.23,00:00:00,23.59,Olympia,1117,1145,2262,9.6,18.5,0.2,100,0.3
2023.03.24,00:00:00,23.59,Olympia,652,659,1311,8.7,15.3,2.1,95,0.1
2023.03.25,00:00:00,23.59,Olympia,700,667,1367,7.3,11.9,0,75,5.1
2023.03.26,00:00:00,23.59,Olympia,367,382,749,5.1,9.3,4.8,96,0.2
2023.03.27,00:00:00,23.59,Olympia,828,923,1751,0.2,5.2,2.2,79,2.2
2023.03.28,00:00:00,23.59,Olympia,935,976,1911,-1,7.3,0.3,73,7.9
2023.03.29,00:00:00,23.59,Olympia,936,944,1880,2.7,14.7,8.5,96,0.8
2023.03.30,00:00:00,23.59,Olympia,647,707,1354,9,16.6,5.4,90,1.5
2023.03.31,00:00:00,23.59,Olympia,569,584,1153,7.7,14.3,3,93,2.7
2023.03.01,00:00:00,23.59,Hirsch,688,684,1372,-1.1,6.2,0,61,5.8
2023.03.02,00:00:00,23.59,Hirsch,978,991,1969,-1.2,11.5,0,25,10.3
2023.03.03,00:00:00,23.59,Hirsch,848,879,1727,-0.2,7.5,0,79,2.8
2023.03.04,00:00:00,23.59,Hirsch,400,359,759,-0.6,6.7,0,65,9.6
2023.03.05,00:00:00,23.59,Hirsch,227,208,435,-0.4,3.4,0,99,0
2023.03.06,00:00:00,23.59,Hirsch,736,787,1523,0.8,3.9,0,99,0
2023.03.07,00:00:00,23.59,Hirsch,966,983,1949,1.6,8.3,0,83,9.5
2023.03.08,00:00:00,23.59,Hirsch,671,715,1386,2.2,12.4,5.1,94,1.5
2023.03.09,00:00:00,23.59,Hirsch,632,641,1273,7,14.1,0,80,5.4
2023.03.10,00:00:00,23.59,Hirsch,510,567,1077,2.8,13.2,0.6,91,2.4
2023.03.11,00:00:00,23.59,Hirsch,368,373,741,-0.1,5.3,0,85,7.9
2023.03.12,00:00:00,23.59,Hirsch,180,162,342,-0.2,9.8,1.9,98,0.3
2023.03.13,00:00:00,23.59,Hirsch,1079,1097,2176,4.9,19.5,3.3,91,6.9
2023.03.14,00:00:00,23.59,Hirsch,712,787,1499,3.6,12.7,6.4,94,0.5
2023.03.15,00:00:00,23.59,Hirsch,685,709,1394,-0.1,7,0.1,83,5.4
2023.03.16,00:00:00,23.59,Hirsch,892,932,1824,-0.5,10.2,0,91,9.7
2023.03.17,00:00:00,23.59,Hirsch,882,937,1819,1.3,16.3,0,94,9.8
2023.03.18,00:00:00,23.59,Hirsch,686,677,1363,4.6,18.3,0,83,7.5
2023.03.19,00:00:00,23.59,Hirsch,305,314,619,5.9,14.1,4.7,100,1.4
2023.03.20,00:00:00,23.59,Hirsch,948,991,1939,7.5,13.3,0,98,2.3
2023.03.21,00:00:00,23.59,Hirsch,1178,1209,2387,7.6,15.9,0,98,4
2023.03.22,00:00:00,23.59,Hirsch,1338,1344,2682,7.3,19.4,0,91,11.3
2023.03.23,00:00:00,23.59,Hirsch,1093,1137,2230,9.6,18.5,0.2,100,0.3
2023.03.24,00:00:00,23.59,Hirsch,531,545,1076,8.7,15.3,2.1,95,0.1
2023.03.25,00:00:00,23.59,Hirsch,307,339,646,7.3,11.9,0,75,5.1
2023.03.26,00:00:00,23.59,Hirsch,148,129,277,5.1,9.3,4.8,96,0.2
2023.03.27,00:00:00,23.59,Hirsch,858,935,1793,0.2,5.2,2.2,79,2.2
2023.03.28,00:00:00,23.59,Hirsch,841,886,1727,-1,7.3,0.3,73,7.9
2023.03.29,00:00:00,23.59,Hirsch,792,867,1659,2.7,14.7,8.5,96,0.8
2023.03.30,00:00:00,23.59,Hirsch,575,619,1194,9,16.6,5.4,90,1.5
2023.03.31,00:00:00,23.59,Hirsch,522,561,1083,7.7,14.3,3,93,2.7
2023.03.01,00:00:00,23.59,Margareten,1420,1487,2907,-1.1,6.2,0,61,5.8
2023.03.02,00:00:00,23.59,Margareten,2416,2432,4848,-1.2,11.5,0,25,10.3
2023.03.03,00:00:00,23.59,Margareten,2195,2205,4400,-0.2,7.5,0,79,2.8
2023.03.04,00:00:00,23.59,Margareten,1303,1290,2593,-0.6,6.7,0,65,9.6
2023.03.05,00:00:00,23.59,Margareten,551,561,1112,-0.4,3.4,0,99,0
2023.03.06,00:00:00,23.59,Margareten,1575,1640,3215,0.8,3.9,0,99,0
2023.03.07,00:00:00,23.59,Margareten,1795,1815,3610,1.6,8.3,0,83,9.5
2023.03.08,00:00:00,23.59,Margareten,1508,1555,3063,2.2,12.4,5.1,94,1.5
2023.03.09,00:00:00,23.59,Margareten,1489,1488,2977,7,14.1,0,80,5.4
2023.03.10,00:00:00,23.59,Margareten,1388,1460,2848,2.8,13.2,0.6,91,2.4
2023.03.11,00:00:00,23.59,Margareten,1073,1129,2202,-0.1,5.3,0,85,7.9
2023.03.12,00:00:00,23.59,Margareten,524,504,1028,-0.2,9.8,1.9,98,0.3
2023.03.13,00:00:00,23.59,Margareten,2057,1965,4022,4.9,19.5,3.3,91,6.9
2023.03.14,00:00:00,23.59,Margareten,1494,1510,3004,3.6,12.7,6.4,94,0.5
2023.03.15,00:00:00,23.59,Margareten,1428,1478,2906,-0.1,7,0.1,83,5.4
2023.03.16,00:00:00,23.59,Margareten,1831,1827,3658,-0.5,10.2,0,91,9.7
2023.03.17,00:00:00,23.59,Margareten,1901,1993,3894,1.3,16.3,0,94,9.8
2023.03.18,00:00:00,23.59,Margareten,1755,1758,3513,4.6,18.3,0,83,7.5
2023.03.19,00:00:00,23.59,Margareten,818,793,1611,5.9,14.1,4.7,100,1.4
2023.03.20,00:00:00,23.59,Margareten,1912,1903,3815,7.5,13.3,0,98,2.3
2023.03.21,00:00:00,23.59,Margareten,2153,2161,4314,7.6,15.9,0,98,4
2023.03.22,00:00:00,23.59,Margareten,2398,2416,4814,7.3,19.4,0,91,11.3
2023.03.23,00:00:00,23.59,Margareten,2184,2258,4442,9.6,18.5,0.2,100,0.3
2023.03.24,00:00:00,23.59,Margareten,1361,1345,2706,8.7,15.3,2.1,95,0.1
2023.03.25,00:00:00,23.59,Margareten,1237,1273,2510,7.3,11.9,0,75,5.1
2023.03.26,00:00:00,23.59,Margareten,529,504,1033,5.1,9.3,4.8,96,0.2
2023.03.27,00:00:00,23.59,Margareten,1886,1855,3741,0.2,5.2,2.2,79,2.2
2023.03.28,00:00:00,23.59,Margareten,1742,1756,3498,-1,7.3,0.3,73,7.9
2023.03.29,00:00:00,23.59,Margareten,1733,1721,3454,2.7,14.7,8.5,96,0.8
2023.03.30,00:00:00,23.59,Margareten,1326,1351,2677,9,16.6,5.4,90,1.5
2023.03.31,00:00:00,23.59,Margareten,1210,1271,2481,7.7,14.3,3,93,2.7
2023.03.01,00:00:00,23.59,Erhardt,1938,1767,3705,-1.1,6.2,0,61,5.8
2023.03.02,00:00:00,23.59,Erhardt,3987,3968,7955,-1.2,11.5,0,25,10.3
2023.03.03,00:00:00,23.59,Erhardt,3583,3672,7255,-0.2,7.5,0,79,2.8
2023.03.04,00:00:00,23.59,Erhardt,1842,1651,3493,-0.6,6.7,0,65,9.6
2023.03.05,00:00:00,23.59,Erhardt,891,890,1781,-0.4,3.4,0,99,0
2023.03.06,00:00:00,23.59,Erhardt,1903,1841,3744,0.8,3.9,0,99,0
2023.03.07,00:00:00,23.59,Erhardt,2407,2361,4768,1.6,8.3,0,83,9.5
2023.03.08,00:00:00,23.59,Erhardt,1965,1893,3858,2.2,12.4,5.1,94,1.5
2023.03.09,00:00:00,23.59,Erhardt,2050,1921,3971,7,14.1,0,80,5.4
2023.03.10,00:00:00,23.59,Erhardt,1649,1608,3257,2.8,13.2,0.6,91,2.4
2023.03.11,00:00:00,23.59,Erhardt,1462,1306,2768,-0.1,5.3,0,85,7.9
2023.03.12,00:00:00,23.59,Erhardt,746,697,1443,-0.2,9.8,1.9,98,0.3
2023.03.13,00:00:00,23.59,Erhardt,2660,2379,5039,4.9,19.5,3.3,91,6.9
2023.03.14,00:00:00,23.59,Erhardt,2030,1946,3976,3.6,12.7,6.4,94,0.5
