datum,uhrzeit_start,uhrzeit_ende,zaehlstelle,richtung_1,richtung_2,gesamt,min-temp,max-temp,niederschlag,bewoelkung,sonnenstunden
2023.05.01,00:00:00,23.59,Arnulf,416,36,452,6,13,7.7,98,0.9
2023.05.02,00:00:00,23.59,Arnulf,1352,75,1427,5.9,14.1,2.6,86,0.8
2023.05.03,00:00:00,23.59,Arnulf,1795,121,1916,5.4,17.6,0,48,6.8
2023.05.04,00:00:00,23.59,Arnulf,2247,112,2359,6,20.6,0,60,13.3
2023.05.05,00:00:00,23.59,Arnulf,1676,90,1766,7.8,23.5,13.9,78,8.5
2023.05.06,00:00:00,23.59,Arnulf,1230,49,1279,11.2,20.4,0,96,5.1
2023.05.07,00:00:00,23.59,Arnulf,1243,74,1317,10.4,22.6,0,89,9.8
2023.05.08,00:00:00,23.59,Arnulf,1546,99,1645,10.8,16.8,0,95,4.1
2023.05.09,00:00:00,23.59,Arnulf,2159,101,2260,7.5,21.2,7.7,70,11.1
2023.05.10,00:00:00,23.59,Arnulf,885,49,934,8.8,15.9,20.3,98,0.9
2023.05.11,00:00:00,23.59,Arnulf,626,41,667,7.9,10.1,18.2,94,0
2023.05.12,00:00:00,23.59,Arnulf,1077,85,1162,8.8,13.2,0,99,0
2023.05.13,00:00:00,23.59,Arnulf,867,47,914,8.6,14,0.1,99,0.6
2023.05.14,00:00:00,23.59,Arnulf,732,69,801,9.2,17,0,98,3
2023.05.15,00:00:00,23.59,Arnulf,1350,90,1440,9.4,17.1,0.6,88,2.4
2023.05.16,00:00:00,23.59,Arnulf,937,68,1005,8.2,13.2,12.1,96,0
2023.05.17,00:00:00,23.59,Arnulf,1546,89,1635,6.2,14.3,0,100,5.7
2023.05.18,00:00:00,23.59,Arnulf,1028,42,1070,4.5,14.6,0,73,5.6
2023.05.19,00:00:00,23.59,Arnulf,2212,97,2309,8.1,15.4,0,98,3
2023.05.20,00:00:00,23.59,Arnulf,1296,66,1362,11,23.3,0,91,5.3
2023.05.21,00:00:00,23.59,Arnulf,1326,66,1392,13.1,27.3,0,84,10.2
2023.05.22,00:00:00,23.59,Arnulf,2128,126,2254,10.6,26.1,0,38,14
2023.05.23,00:00:00,23.59,Arnulf,1741,104,1845,12.5,21.8,0,83,4.5
