datum,uhrzeit_start,uhrzeit_ende,zaehlstelle,richtung_1,richtung_2,gesamt,min-temp,max-temp,niederschlag,bewoelkung,sonnenstunden
2023.10.01,00:00:00,23.59,Arnulf,1238,85,1323,9.3,23.5,0,16,10.9
2023.10.02,00:00:00,23.59,Arnulf,1696,136,1832,9.7,26.3,0,40,11.1
2023.10.03,00:00:00,23.59,Arnulf,1067,68,1135,12.2,27.6,0.1,46,9.9
2023.10.04,00:00:00,23.59,Arnulf,1829,96,1925,7.8,18.6,0,54,8.9
2023.10.05,00:00:00,23.59,Arnulf,1733,101,1834,6.7,18.2,0,85,6.1
2023.10.06,00:00:00,23.59,Arnulf,1589,94,1683,6.3,20.8,0,56,10.3
2023.10.07,00:00:00,23.59,Arnulf,1109,75,1184,8,21.4,0,63,5.2
2023.10.08,00:00:00,23.59,Arnulf,867,60,927,12.5,20.7,0,100,0.6
2023.10.09,00:00:00,23.59,Arnulf,1619,98,1717,12.2,23.3,0.2,100,1.2
2023.10.10,00:00:00,23.59,Arnulf,1846,103,1949,11.5,24.8,0,81,9.4
2023.10.11,00:00:00,23.59,Arnulf,2002,108,2110,13,26.1,0,28,10.1
2023.10.12,00:00:00,23.59,Arnulf,1776,110,1886,14.3,26,0,91,4.6
2023.10.13,00:00:00,23.59,Arnulf,1743,90,1833,12.5,28.2,0,35,9.8
2023.10.14,00:00:00,23.59,Arnulf,710,38,748,9.8,21,4.8,93,1.5
2023.10.15,00:00:00,23.59,Arnulf,495,40,535,2.8,10.1,1.8,68,2.5
2023.10.16,00:00:00,23.59,Arnulf,1419,81,1500,0.9,11.1,0,68,10.4
2023.10.17,00:00:00,23.59,Arnulf,1436,70,1506,0.9,8.9,0,91,1.1
2023.10.18,00:00:00,23.59,Arnulf,1458,92,1550,2.2,12.8,1.6,98,5.1
2023.10.19,00:00:00,23.59,Arnulf,1348,65,1413,7,18.1,0.2,99,0.6
2023.10.20,00:00:00,23.59,Arnulf,1316,94,1410,10,21.6,0,94,2.2
2023.10.21,00:00:00,23.59,Arnulf,1054,72,1126,10.1,19,3.6,75,5.3
2023.10.22,00:00:00,23.59,Arnulf,937,74,1011,7.8,16.7,0,69,7.4
2023.10.23,00:00:00,23.59,Arnulf,1552,103,1655,5.8,15.7,0,96,4.4
2023.10.24,00:00:00,23.59,Arnulf,1237,65,1302,8.1,11.7,3,95,0
2023.10.25,00:00:00,23.59,Arnulf,1591,75,1666,8.4,18.3,1.2,78,7.4
2023.10.26,00:00:00,23.59,Arnulf,1070,59,1129,8,14.3,17.2,88,0.1
2023.10.27,00:00:00,23.59,Arnulf,952,66,1018,8.1,14.2,1.1,73,3.1
2023.10.28,00:00:00,23.59,Arnulf,892,33,925,9.1,16.5,0,79,8
2023.10.29,00:00:00,23.59,Arnulf,833,50,883,8,20.1,0,99,5.7
2023.10.30,00:00:00,23.59,Arnulf,1263,66,1329,6.7,16,10.4,94,3.6
2023.10.31,00:00:00,23.59,Arnulf,927,63,990,9,11.9,0.7,98,0.2
2023.10.01,00:00:00,23.59,Olympia,1274,1294,2568,9.3,23.5,0,16,10.9
2023.10.02,00:00:00,23.59,Olympia,1185,1297,2482,9.7,26.3,0,40,11.1
2023.10.03,00:00:00,23.59,Olympia,1222,1321,2543,12.2,27.6,0.1,46,9.9
2023.10.04,00:00:00,23.59,Olympia,1226,1315,2541,7.8,18.6,0,54,8.9
2023.10.05,00:00:00,23.59,Olympia,1202,1185,2387,6.7,18.2,0,85,6.1
2023.10.06,00:00:00,23.59,Olympia,1432,1503,2935,6.3,20.8,0,56,10.3
2023.10.07,00:00:00,23.59,Olympia,1526,1550,3076,8,21.4,0,63,5.2
2023.10.08,00:00:00,23.59,Olympia,3619,2835,6454,12.5,20.7,0,100,0.6
2023.10.09,00:00:00,23.59,Olympia,1159,1204,2363,12.2,23.3,0.2,100,1.2
2023.10.10,00:00:00,23.59,Olympia,1427,1494,2921,11.5,24.8,0,81,9.4
2023.10.11,00:00:00,23.59,Olympia,1437,1566,3003,13,26.1,0,28,10.1
2023.10.12,00:00:00,23.59,Olympia,1247,1323,2570,14.3,26,0,91,4.6
2023.10.13,00:00:00,23.59,Olympia,1504,1476,2980,12.5,28.2,0,35,9.8
2023.10.14,00:00:00,23.59,Olympia,520,535,1055,9.8,21,4.8,93,1.5
2023.10.15,00:00:00,23.59,Olympia,479,449,928,2.8,10.1,1.8,68,2.5
2023.10.16,00:00:00,23.59,Olympia,1250,1257,2507,0.9,11.1,0,68,10.4
2023.10.17,00:00:00,23.59,Olympia,1165,1259,2424,0.9,8.9,0,91,1.1
2023.10.18,00:00:00,23.59,Olympia,1116,1209,2325,2.2,12.8,1.6,98,5.1
2023.10.19,00:00:00,23.59,Olympia,1172,1218,2390,7,18.1,0.2,99,0.6
2023.10.20,00:00:00,23.59,Olympia,1082,1099,2181,10,21.6,0,94,2.2
2023.10.21,00:00:00,23.59,Olympia,922,876,1798,10.1,19,3.6,75,5.3
2023.10.22,00:00:00,23.59,Olympia,1023,1046,2069,7.8,16.7,0,69,7.4
