datum,uhrzeit_start,uhrzeit_ende,zaehlstelle,richtung_1,richtung_2,gesamt,min-temp,max-temp,niederschlag,bewoelkung,sonnenstunden
2023.09.01,00:00:00,23.59,Arnulf,1441,85,1526,13.1,25,0,86,7.2
2023.09.02,00:00:00,23.59,Arnulf,1277,58,1335,12.8,26.7,0,35,12.8
2023.09.03,00:00:00,23.59,Arnulf,1154,74,1228,14.2,24.4,0,80,7.6
2023.09.04,00:00:00,23.59,Arnulf,1915,117,2032,13.6,25.2,0,29,12.9
2023.09.05,00:00:00,23.59,Arnulf,2101,111,2212,12.1,24.8,0,6,12.9
2023.09.06,00:00:00,23.59,Arnulf,2193,126,2319,10.8,26.3,0,0,12.8
2023.09.07,00:00:00,23.59,Arnulf,2440,112,2552,12.1,26.2,0,0,12.7
2023.09.08,00:00:00,23.59,Arnulf,1898,95,1993,12.2,28,0,0,12.5
2023.09.09,00:00:00,23.59,Arnulf,1429,73,1502,14.5,29.5,0,0,12.2
2023.09.10,00:00:00,23.59,Arnulf,1407,60,1467,16.1,29.2,0,5,12.2
2023.09.11,00:00:00,23.59,Arnulf,2095,115,2210,16.3,30.7,0,23,11.8
2023.09.12,00:00:00,23.59,Arnulf,2151,117,2268,15.1,30.3,0.1,84,10.8
2023.09.13,00:00:00,23.59,Arnulf,1055,79,1134,16.1,22.8,19.9,98,0.7
2023.09.14,00:00:00,23.59,Arnulf,1820,129,1949,15.7,22.3,0,78,4.8
2023.09.15,00:00:00,23.59,Arnulf,1932,123,2055,13.5,23.6,0,29,8.3
2023.09.16,00:00:00,23.59,Arnulf,1421,91,1512,12.5,26.3,0,9,12
2023.09.17,00:00:00,23.59,Arnulf,1332,73,1405,13.7,28.3,0,63,9.7
2023.09.18,00:00:00,23.59,Arnulf,1634,109,1743,14.7,23,1.1,89,2.8
2023.09.19,00:00:00,23.59,Arnulf,2013,120,2133,15.1,22.9,0,83,8.2
2023.09.20,00:00:00,23.59,Arnulf,2178,148,2326,12.1,25,0,30,12
2023.09.21,00:00:00,23.59,Arnulf,2230,142,2372,13.2,28.5,1.7,65,10
2023.09.22,00:00:00,23.59,Arnulf,749,93,842,11.2,18.2,12.8,96,0
2023.09.23,00:00:00,23.59,Arnulf,954,80,1034,11.2,15.2,0,98,1
2023.09.24,00:00:00,23.59,Arnulf,1113,105,1218,7.8,18.1,0,24,9.7
2023.09.25,00:00:00,23.59,Arnulf,1663,91,1754,7,20.1,0,6,11.7
2023.09.26,00:00:00,23.59,Arnulf,1917,107,2024,8.6,22.1,0,69,11.4
2023.09.27,00:00:00,23.59,Arnulf,2082,113,2195,10.1,23.7,0,30,11.1
2023.09.28,00:00:00,23.59,Arnulf,2019,120,2139,12,25.9,0,43,11.1
2023.09.29,00:00:00,23.59,Arnulf,1803,146,1949,10.2,27,0,51,10.8
2023.09.30,00:00:00,23.59,Arnulf,1176,101,1277,10.8,20.3,0,76,3.7
2023.09.01,00:00:00,23.59,Olympia,1048,1028,2076,13.1,25,0,86,7.2
2023.09.02,00:00:00,23.59,Olympia,67,100,167,12.8,26.7,0,35,12.8
2023.09.03,00:00:00,23.59,Olympia,85,138,223,14.2,24.4,0,80,7.6
2023.09.04,00:00:00,23.59,Olympia,1443,1396,2839,13.6,25.2,0,29,12.9
2023.09.05,00:00:00,23.59,Olympia,1586,1548,3134,12.1,24.8,0,6,12.9
2023.09.06,00:00:00,23.59,Olympia,1575,1568,3143,10.8,26.3,0,0,12.8
2023.09.07,00:00:00,23.59,Olympia,1448,1459,2907,12.1,26.2,0,0,12.7
2023.09.08,00:00:00,23.59,Olympia,1328,1320,2648,12.2,28,0,0,12.5
2023.09.09,00:00:00,23.59,Olympia,1370,1249,2619,14.5,29.5,0,0,12.2
2023.09.10,00:00:00,23.59,Olympia,1407,1324,2731,16.1,29.2,0,5,12.2
2023.09.11,00:00:00,23.59,Olympia,1463,1483,2946,16.3,30.7,0,23,11.8
2023.09.12,00:00:00,23.59,Olympia,1455,1524,2979,15.1,30.3,0.1,84,10.8
2023.09.13,00:00:00,23.59,Olympia,659,686,1345,16.1,22.8,19.9,98,0.7
2023.09.14,00:00:00,23.59,Olympia,1292,1317,2609,15.7,22.3,0,78,4.8
2023.09.15,00:00:00,23.59,Olympia,1471,1492,2963,13.5,23.6,0,29,8.3
2023.09.16,00:00:00,23.59,Olympia,1102,1219,2321,12.5,26.3,0,9,12
2023.09.17,00:00:00,23.59,Olympia,1266,1203,2469,13.7,28.3,0,63,9.7
2023.09.18,00:00:00,23.59,Olympia,1003,986,1989,14.7,23,1.1,89,2.8
2023.09.19,00:00:00,23.59,Olympia,1381,1440,2821,15.1,22.9,0,83,8.2
2023.09.20,00:00:00,23.59,Olympia,1502,1535,3037,12.1,25,0,30,12
2023.09.21,00:00:00,23.59,Olympia,1428,1520,2948,13.2,28.5,1.7,65,10
2023.09.22,00:00:00,23.59,Olympia,442,444,886,11.2,18.2,12.8,96,0
2023.09.23,00:00:00,23.59,Olympia,696,663,1359,11.2,15.2,0,98,1
2023.09.24,00:00:00,23.59,Olympia,1622,1568,3190,7.8,18.1,0,24,9.7
2023.09.25,00:00:00,23.59,Olympia,1372,1423,2795,7,20.1,0,6,11.7
2023.09.26,00:00:00,23.59,Olympia,1422,1470,2892,8.6,22.1,0,69,11.4
