"","datum","uhrzeit_start","uhrzeit_ende","zaehlstelle","richtung_1","richtung_2","gesamt","min.temp","max.temp","niederschlag","bewoelkung","sonnenstunden"
"1","2023.12.01","00:00",23.59,"Arnulf",314,28,342,-0.7,1.2,37.1,98,0
"2","2023.12.02","00:00",23.59,"Arnulf",49,42,91,-5.5,-0.7,6.8,99,0
"3","2023.12.03","00:00",23.59,"Arnulf",17,34,51,-7.9,-1.1,0,0,5.5
"4","2023.12.04","00:00",23.59,"Arnulf",104,32,136,-10.8,-2.3,0.9,95,0.2
"5","2023.12.05","00:00",23.59,"Arnulf",107,43,150,-3,6.2,0.4,96,1
"6","2023.12.06","00:00",23.59,"Arnulf",167,55,222,1.1,3.7,0,96,0
"7","2023.12.07","00:00",23.59,"Arnulf",255,41,296,-2.9,5.3,0,33,8.1
"8","2023.12.08","00:00",23.59,"Arnulf",258,50,308,-3.6,3.5,6.9,96,0
"9","2023.12.09","00:00",23.59,"Arnulf",206,14,220,2.9,9,7.2,89,5.3
"10","2023.12.10","00:00",23.59,"Arnulf",189,16,205,5.1,9.1,3.1,85,3.8
"11","2023.12.11","00:00",23.59,"Arnulf",662,57,719,5.8,10.1,0.1,76,0
"12","2023.12.12","00:00",23.59,"Arnulf",697,57,754,5.7,9,13.6,98,0
"13","2023.12.13","00:00",23.59,"Arnulf",810,56,866,5.3,9.3,3.9,98,0.3
"14","2023.12.14","00:00",23.59,"Arnulf",805,61,866,4,6.4,2.7,98,0
"15","2023.12.15","00:00",23.59,"Arnulf",668,49,717,2.5,4.9,0.1,98,0
"16","2023.12.16","00:00",23.59,"Arnulf",458,36,494,0.4,7.2,0,70,3.1
"17","2023.12.17","00:00",23.59,"Arnulf",423,33,456,-1.6,8.9,0,63,8
"18","2023.12.18","00:00",23.59,"Arnulf",973,52,1025,-0.6,12.6,0,4,7.9
"19","2023.12.19","00:00",23.59,"Arnulf",1115,73,1188,-0.7,13.4,0.6,48,8.1
"20","2023.12.20","00:00",23.59,"Arnulf",739,59,798,3.3,7.2,1.1,89,0
"21","2023.12.21","00:00",23.59,"Arnulf",625,39,664,3.8,8.8,8,94,0
"22","2023.12.22","00:00",23.59,"Arnulf",336,27,363,0.6,7.6,14.2,96,0.1
"23","2023.12.23","00:00",23.59,"Arnulf",190,17,207,5.7,7.7,1.6,98,0
"24","2023.12.24","00:00",23.59,"Arnulf",87,13,100,6.6,12.2,5.8,99,0
"25","2023.12.25","00:00",23.59,"Arnulf",164,21,185,5.9,13,0,84,6.1
"26","2023.12.26","00:00",23.59,"Arnulf",209,26,235,2.9,9.3,0,91,1.9
"27","2023.12.27","00:00",23.59,"Arnulf",475,35,510,1.9,11.3,0,85,6.3
"28","2023.12.28","00:00",23.59,"Arnulf",517,35,552,2.6,12,0,78,3.2
"29","2023.12.29","00:00",23.59,"Arnulf",530,59,589,7.5,11.2,0,90,1.1
"30","2023.12.30","00:00",23.59,"Arnulf",456,26,482,3.7,11.2,0,86,7.3
"31","2023.12.31","00:00",23.59,"Arnulf",262,21,283,0.3,10.3,3.5,98,1
"32","2023.12.01","00:00",23.59,"Olympia",274,226,500,-0.7,1.2,37.1,98,0
